,stop,lap,milliseconds,year,round,gp_name,date,driverRef,number,code,forename,surname,nationality,circuitRef,track_name,location,country,alt
0,1,1,26898,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,1,1,25021,2011,1,Australian Grand Prix,27/03/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
2,1,11,23426,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
3,1,12,23251,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
4,1,13,23842,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
5,1,13,23643,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
6,1,14,22603,2011,1,Australian Grand Prix,27/03/11,vettel,5,VET,Sebastian,Vettel,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
7,1,14,24863,2011,1,Australian Grand Prix,27/03/11,resta,\N,DIR,Paul,di Resta,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
8,1,14,25259,2011,1,Australian Grand Prix,27/03/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
9,1,15,25342,2011,1,Australian Grand Prix,27/03/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
10,1,15,22994,2011,1,Australian Grand Prix,27/03/11,heidfeld,\N,HEI,Nick,Heidfeld,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
11,1,16,23227,2011,1,Australian Grand Prix,27/03/11,hamilton,44,HAM,Lewis,Hamilton,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
12,1,16,24535,2011,1,Australian Grand Prix,27/03/11,petrov,\N,PET,Vitaly,Petrov,Russian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
13,1,16,23716,2011,1,Australian Grand Prix,27/03/11,rosberg,6,ROS,Nico,Rosberg,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
14,1,16,24064,2011,1,Australian Grand Prix,27/03/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
15,1,16,25978,2011,1,Australian Grand Prix,27/03/11,sutil,99,SUT,Adrian,Sutil,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
16,1,16,24899,2011,1,Australian Grand Prix,27/03/11,trulli,\N,TRU,Jarno,Trulli,Italian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
17,1,17,16867,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
18,2,17,24463,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
19,1,17,24865,2011,1,Australian Grand Prix,27/03/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
20,2,17,23988,2011,1,Australian Grand Prix,27/03/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
21,1,18,23792,2011,1,Australian Grand Prix,27/03/11,glock,\N,GLO,Timo,Glock,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
22,2,19,23303,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
23,1,23,23438,2011,1,Australian Grand Prix,27/03/11,perez,11,PER,Sergio,Pérez,Mexican,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
24,2,23,37856,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
25,2,26,22520,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
26,2,27,24733,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
27,3,28,16892,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
28,2,29,23100,2011,1,Australian Grand Prix,27/03/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
29,2,30,25098,2011,1,Australian Grand Prix,27/03/11,heidfeld,\N,HEI,Nick,Heidfeld,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
30,2,31,24500,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
31,2,32,24192,2011,1,Australian Grand Prix,27/03/11,kobayashi,10,KOB,Kamui,Kobayashi,Japanese,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
32,2,36,24036,2011,1,Australian Grand Prix,27/03/11,vettel,5,VET,Sebastian,Vettel,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
33,2,36,23199,2011,1,Australian Grand Prix,27/03/11,hamilton,44,HAM,Lewis,Hamilton,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
34,3,35,26348,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
35,2,36,25683,2011,1,Australian Grand Prix,27/03/11,petrov,\N,PET,Vitaly,Petrov,Russian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
36,2,36,24332,2011,1,Australian Grand Prix,27/03/11,resta,\N,DIR,Paul,di Resta,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
37,3,37,22681,2011,1,Australian Grand Prix,27/03/11,button,22,BUT,Jenson,Button,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
38,2,37,23871,2011,1,Australian Grand Prix,27/03/11,sutil,99,SUT,Adrian,Sutil,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
39,2,37,24848,2011,1,Australian Grand Prix,27/03/11,trulli,\N,TRU,Jarno,Trulli,Italian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
40,2,38,26446,2011,1,Australian Grand Prix,27/03/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
41,3,41,26230,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
42,4,40,26309,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
43,3,42,24181,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
44,3,48,24095,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
45,1,3,31694,2011,2,Malaysian Grand Prix,10/04/11,sutil,99,SUT,Adrian,Sutil,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
46,1,3,32978,2011,2,Malaysian Grand Prix,10/04/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
47,1,10,22572,2011,2,Malaysian Grand Prix,10/04/11,webber,\N,WEB,Mark,Webber,Australian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
48,1,11,22773,2011,2,Malaysian Grand Prix,10/04/11,resta,\N,DIR,Paul,di Resta,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
49,1,12,22552,2011,2,Malaysian Grand Prix,10/04/11,hamilton,44,HAM,Lewis,Hamilton,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
50,1,13,23019,2011,2,Malaysian Grand Prix,10/04/11,vettel,5,VET,Sebastian,Vettel,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
51,1,13,23900,2011,2,Malaysian Grand Prix,10/04/11,heidfeld,\N,HEI,Nick,Heidfeld,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
52,1,13,22400,2011,2,Malaysian Grand Prix,10/04/11,button,22,BUT,Jenson,Button,British,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
53,1,13,29224,2011,2,Malaysian Grand Prix,10/04/11,massa,19,MAS,Felipe,Massa,Brazilian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
54,1,13,25516,2011,2,Malaysian Grand Prix,10/04/11,trulli,\N,TRU,Jarno,Trulli,Italian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
55,1,14,23152,2011,2,Malaysian Grand Prix,10/04/11,alonso,14,ALO,Fernando,Alonso,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
56,1,14,22576,2011,2,Malaysian Grand Prix,10/04/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
57,1,15,23182,2011,2,Malaysian Grand Prix,10/04/11,petrov,\N,PET,Vitaly,Petrov,Russian,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
58,1,15,23280,2011,2,Malaysian Grand Prix,10/04/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
59,1,15,24967,2011,2,Malaysian Grand Prix,10/04/11,rosberg,6,ROS,Nico,Rosberg,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
60,1,15,29084,2011,2,Malaysian Grand Prix,10/04/11,kovalainen,\N,KOV,Heikki,Kovalainen,Finnish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
61,1,16,23584,2011,2,Malaysian Grand Prix,10/04/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
62,2,16,22046,2011,2,Malaysian Grand Prix,10/04/11,sutil,99,SUT,Adrian,Sutil,German,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,18
