stop,lap,milliseconds,year,round,gp_name,date,driverRef,number,code,forename,surname,nationality,circuitRef,track_name,location,country,alt
1,1,26898,2011,1,Australian Grand Prix,27/03/11,alguersuari,\N,ALG,Jaime,Alguersuari,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,1,25021,2011,1,Australian Grand Prix,27/03/11,michael_schumacher,\N,MSC,Michael,Schumacher,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,11,23426,2011,1,Australian Grand Prix,27/03/11,webber,\N,WEB,Mark,Webber,Australian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,12,23251,2011,1,Australian Grand Prix,27/03/11,alonso,14,ALO,Fernando,Alonso,Spanish,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,13,23842,2011,1,Australian Grand Prix,27/03/11,massa,19,MAS,Felipe,Massa,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,13,23643,2011,1,Australian Grand Prix,27/03/11,barrichello,\N,BAR,Rubens,Barrichello,Brazilian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,14,22603,2011,1,Australian Grand Prix,27/03/11,vettel,5,VET,Sebastian,Vettel,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,14,24863,2011,1,Australian Grand Prix,27/03/11,resta,\N,DIR,Paul,di Resta,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,14,25259,2011,1,Australian Grand Prix,27/03/11,ambrosio,\N,DAM,Jérôme,d'Ambrosio,Belgian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,15,25342,2011,1,Australian Grand Prix,27/03/11,buemi,\N,BUE,Sébastien,Buemi,Swiss,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,15,22994,2011,1,Australian Grand Prix,27/03/11,heidfeld,\N,HEI,Nick,Heidfeld,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,16,23227,2011,1,Australian Grand Prix,27/03/11,hamilton,44,HAM,Lewis,Hamilton,British,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,16,24535,2011,1,Australian Grand Prix,27/03/11,petrov,\N,PET,Vitaly,Petrov,Russian,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
1,16,23716,2011,1,Australian Grand Prix,27/03/11,rosberg,6,ROS,Nico,Rosberg,German,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,10
